id;name;cityId
816;Tanjung Raya;62
817;Matur;62
818;IV Koto;62
819;Banuhampu;62
820;Ampek Angkek;62
821;Baso;62
822;Tilatang Kamang;62
823;Palupuh;62
824;Palembayan;62
825;Sungai Pua;62
826;Ampek Nagari;62
827;Candung;62
828;Kamang Magek;62
829;Malalak;62
830;Suliki;63
831;Guguak;63
832;Payakumbuh;63
833;Luak;63
834;Harau;63
835;Pangkalan Koto Baru;63
836;Kapur IX;63
837;Gunuang Omeh;63
838;Lareh Sago Halaban;63
839;Situjuah Limo Nagari;63
840;Mungka;63
841;Bukik Barisan;63
842;Akabiluru;63
843;Bonjol;64
844;Lubuk Sikaping;64
845;Panti;64
846;Mapat Tunggul;64
847;Duo Koto;64
848;Tigo Nagari;64
849;Rao;64
850;Mapat Tunggul Selatan;64
851;Simpang Alahan Mati;64
852;Padang Gelugur;64
853;Rao Utara;64
854;Rao Selatan;64
855;Pagai Utara;65
856;Sipora Selatan;65
857;Siberut Selatan;65
858;Siberut Utara;65
859;Siberut Barat;65
860;Siberut Barat Daya;65
861;Siberut Tengah;65
862;Sipora Utara;65
863;Sikakap;65
864;Pagai Selatan;65
865;Koto Baru;66
866;Pulau Punjung;66
867;Sungai Rumbai;66
868;Sitiung;66
869;Sembilan Koto;66
870;Timpeh;66
871;Koto Salak;66
872;Tiumang;66
873;Padang Laweh;66
874;Asam Jujuhan;66
875;Koto Besar;66
876;Sangir;67
877;Sungai Pagu;67
878;Koto Parik Gadang Diateh;67
879;Sangir Jujuan;67
880;Sangir Batang Hari;67
881;Pauh Duo;67
882;Sangir Balai Janggo;67
883;Sungaiberemas;68
884;Lembah Melintang;68
885;Pasaman;68
886;Talamau;68
887;Kinali;68
888;Gunungtuleh;68
889;Ranah Batahan;68
890;Koto Balingka;68
891;Sungaiaur;68
892;Luhak Nan Duo;68
893;Sasak Ranah Pesisir;68
894;Padang Selatan;69
895;Padang Timur;69
896;Padang Barat;69
897;Padang Utara;69
898;Bungus Teluk Kabung;69
899;Lubuk Begalung;69
900;Lubuk Kilangan;69
901;Pauh;69
902;Kuranji;69
903;Nanggalo;69
904;Koto Tangah;69
905;Lubuk Sikarah;70
906;Tanjung Harapan;70
907;Lembah Segar;71
908;Barangin;71
909;Silungkang;71
910;Talawi;71
911;Padang Panjang Timur;72
912;Padang Panjang Barat;72
913;Guguak Panjang;73
914;Mandiangin Koto Selayan;73
915;Aur Birugo Tigo Baleh;73
916;Payakumbuh Barat;74
917;Payakumbuh Utara;74
918;Payakumbuh Timur;74
919;Lamposi Tigo Nagori;74
920;Payakumbuh Selatan;74
921;Pariaman Tengah;75
922;Pariaman Utara;75
923;Pariaman Selatan;75
924;Pariaman Timur;75
925;Bangkinang Kota;76
926;Kampar;76
927;Tambang;76
928;XIII Koto Kampar;76
929;Kuok;76
930;Siak Hulu;76
931;Kampar Kiri;76
932;Kampar Kiri Hilir;76
933;Kampar Kiri Hulu;76
934;Tapung;76
935;Tapung Hilir;76
936;Tapung Hulu;76
937;Salo;76
938;Rumbio Jaya;76
939;Bangkinang;76
940;Perhentian Raja;76
941;Kampa;76
942;Kampar Utara;76
943;Kampar Kiri Tengah;76
944;Gunung Sahilan;76
945;Koto Kampar Hulu;76
946;Rengat;77
947;Rengat Barat;77
948;Kelayang;77
949;Pasir Penyu;77
950;Peranap;77
951;Siberida;77
952;Batang Cenaku;77
953;Batang Gangsal;77
954;Lirik;77
955;Kuala Cenaku;77
956;Sungai Lala;77
957;Lubuk Batu Jaya;77
958;Rakit Kulim;77
959;Batang Peranap;77
960;Bengkalis;78
961;Bantan;78
962;Bukit Batu;78
963;Mandau;78
964;Rupat;78
965;Rupat Utara;78
966;Siak Kecil;78
967;Pinggir;78
968;Bandar Laksamana;78
969;Talang Muandau;78
970;Bathin Solapan;78
971;Reteh;79
972;Enok;79
973;Kuala Indragiri;79
974;Tembilahan;79
975;Tempuling;79
976;Gaung Anak Serka;79
977;Mandah;79
978;Kateman;79
979;Keritang;79
980;Tanah Merah;79
981;Batang Tuaka;79
982;Gaung;79
983;Tembilahan Hulu;79
984;Kemuning;79
985;Pelangiran;79
986;Teluk Belengkong;79
987;Pulau Burung;79
988;Concong;79
989;Kempas;79
990;Sungai Batang;79
991;Ukui;80
992;Pangkalan Kerinci;80
993;Pangkalan Kuras;80
994;Pangkalan Lesung;80
995;Langgam;80
996;Pelalawan;80
997;Kerumutan;80
998;Bunut;80
999;Teluk Meranti;80
1000;Kuala Kampar;80
1001;Bandar Sei Kijang;80
1002;Bandar Petalangan;80
1003;Ujung Batu;81
1004;Rokan IV Koto;81
1005;Rambah;81
1006;Tambusai;81
1007;Kepenuhan;81
1008;Kunto Darussalam;81
1009;Rambah Samo;81
1010;Rambah Hilir;81
1011;Tambusai Utara;81
1012;Bangun Purba;81
1013;Tandun;81
1014;Kabun;81
1015;Bonai Darussalam;81
1016;Pagaran Tapah Darussalam;81
1017;Kepenuhan Hulu;81
1018;Pendalian IV Koto;81
1019;Kubu;82
1020;Bangko;82
1021;Tanah Putih;82
1022;Rimba Melintang;82
1023;Bagan Sinembah;82
1024;Pasir Limau Kapas;82
1025;Sinaboi;82
1026;Pujud;82
1027;Tanah Putih Tanjung Melawan;82
1028;Bangko Pusako;82
1029;Simpang Kanan;82
1030;Batu Hampar;82
1031;Rantau Kopar;82
1032;Pekaitan;82
1033;Kubu Babussalam;82
1034;Tanjung Medan;82
1035;Bagan Sinembah Raya;82
1036;Balai Jaya;82
1037;Siak;83
1038;Sungai Apit;83
1039;Minas;83
1040;Tualang;83
1041;Sungai Mandau;83
1042;Dayun;83
1043;Kerinci Kanan;83
1044;Bunga Raya;83
1045;Koto Gasib;83
1046;Kandis;83
1047;Lubuk Dalam;83
1048;Sabak Auh;83
1049;Mempura;83
1050;Pusako;83
1051;Kuantan Mudik;84
1052;Kuantan Tengah;84
1053;Singingi;84
1054;Kuantan Hilir;84
1055;Cerenti;84
1056;Benai;84
1057;Gunungtoar;84
1058;Singingi Hilir;84
1059;Pangean;84
1060;Logas Tanah Darat;84
1061;Inuman;84
1062;Hulu Kuantan;84
1063;Kuantan Hilir Seberang;84
1064;Sentajo Raya;84
1065;Pucuk Rantau;84
1066;Tebing Tinggi;85
1067;Rangsang Barat;85
1068;Rangsang;85
1069;Tebing Tinggi Barat;85
1070;Merbau;85
1071;Pulaumerbau;85
1072;Tebing Tinggi Timur;85
1073;Tasik Putri Puyu;85
1074;Rangsang Pesisir;85
1075;Sukajadi;86
1076;Pekanbaru Kota;86
1077;Sail;86
1078;Lima Puluh;86
1079;Senapelan;86
1080;Rumbai Barat;86
1081;Bukit Raya;86
1082;Binawidya;86
1083;Marpoyan Damai;86
1084;Tenayan Raya;86
1085;Payung Sekaki;86
1086;Rumbai;86
1087;Tuahmadani;86
1088;Kulim;86
1089;Rumbai Timur;86
1090;Dumai Barat;87
1091;Dumai Timur;87
1092;Bukit Kapur;87
1093;Sungai Sembilan;87
1094;Medang Kampai;87
1095;Dumai Kota;87
1096;Dumai Selatan;87
1097;Gunung Raya;88
1098;Danau Kerinci;88
1099;Sitinjau Laut;88
1100;Air Hangat;88
1101;Gunung Kerinci;88
1102;Batang Merangin;88
1103;Keliling Danau;88
1104;Kayu Aro;88
1105;Air Hangat Timur;88
1106;Gunung Tujuh;88
1107;Siulak;88
1108;Depati Tujuh;88
1109;Siulak Mukai;88
1110;Kayu Aro Barat;88
1111;Bukitkerman;88
1112;Air Hangat Barat;88
1113;Tanah Cogok;88
1114;Danau Kerinci Barat;88
1115;Jangkat;89
1116;Bangko;89
1117;Muara Siau;89
1118;Sungai Manau;89
1119;Tabir;89
1120;Pamenang;89
1121;Tabir Ulu;89
1122;Tabir Selatan;89
1123;Lembah Masurai;89
1124;Bangko Barat;89
1125;Nalo Tantan;89
1126;Batang Masumai;89
1127;Pamenang Barat;89
1128;Tabir Ilir;89
1129;Tabir Timur;89
1130;Renah Pembarap;89
1131;Pangkalan Jambu;89
1132;Jangkat Timur;89
1133;Renah Pamenang;89
1134;Pamenang Selatan;89
1135;Margo Tabir;89
1136;Tabir Lintas;89
1137;Tabir Barat;89
1138;Tiang Pumpung;89
1139;Batang Asai;90
1140;Limun;90
1141;Sarolangun;90
1142;Pauh;90
1143;Pelawan;90
